City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,kosonsoy,41.2561,71.5508,2.31,41,100,2.85,UZ,1704928146
119,kayangel,8.0823,134.7173,28.84,70,69,4.99,PW,1704928146
120,nemuro,43.3236,145.575,-7.15,61,29,4.07,JP,1704928146
121,podu iloaiei,47.2167,27.2667,-7.82,87,11,1.49,RO,1704928147
122,arraial do cabo,-22.9661,-42.0278,26.92,78,20,5.14,BR,1704928147
123,copiapo,-27.3667,-70.3333,25.24,44,1,2.81,CL,1704927960
124,tucumcari,35.1717,-103.725,6.04,42,1,7.44,US,1704928147
125,san patricio,28.017,-97.5169,22.4,59,32,5.13,US,1704928147
126,talnakh,69.4865,88.3972,-28.4,97,53,3.21,RU,1704928147
127,vila velha,-20.3297,-40.2925,26.97,82,20,6.69,BR,1704927929
128,colipapa,9.4726,122.5616,25.6,84,37,2.19,PH,1704928147
129,kavieng,-2.5744,150.7967,28.98,69,82,0.33,PG,1704928147
130,yuzhno-kurilsk,44.0306,145.8556,-7.01,57,78,3.64,RU,1704928148
131,hammerfest,70.6634,23.6821,-4.75,74,75,6.17,NO,1704927601
132,sawakin,19.1059,37.3321,25.65,75,1,1.2,SD,1704928148
133,ukata,10.8312,5.8249,22.38,11,0,3.57,NG,1704928148
134,aoulef,26.9667,1.0833,18.66,12,100,3.13,DZ,1704928148
135,francisco i. madero,29.7059,-107.8043,11.75,13,72,9.51,MX,1704928148
136,hamilton,39.1834,-84.5333,1.54,86,100,4.12,US,1704928148
137,huarmey,-10.0681,-78.1522,24.25,77,88,3.66,PE,1704928028
138,ustka,54.5805,16.8619,0.92,88,27,7.29,PL,1704928149
139,bu'aale,1.0833,42.5833,23.65,85,20,3.2,SO,1704928149
140,crane,31.3974,-102.3501,18.03,14,1,7.03,US,1704928149
141,papao,-17.75,-149.55,27.82,77,100,8.32,PF,1704928149
142,uturoa,-16.7333,-151.4333,28.18,77,96,6.23,PF,1704928000
143,aasiaat,68.7098,-52.8699,-6.7,85,100,6.16,GL,1704928149
144,haiku-pauwela,20.9219,-156.3051,26.01,65,40,9.26,US,1704928149
145,dzhetygara,52.1908,61.2006,-29.39,92,61,3.64,KZ,1704928149
146,ancud,-41.8697,-73.8203,15.7,67,2,1.86,CL,1704928150
147,masterton,-40.9597,175.6575,25.01,50,49,4.63,NZ,1704928150
148,port lincoln,-34.7333,135.8667,19.64,70,1,5.84,AU,1704928150
149,ust-nera,64.5667,143.2,-45.25,97,88,1.09,RU,1704928150
150,prince rupert,54.3161,-130.3201,-0.39,69,6,2.36,CA,1704928150
151,howrah,22.5892,88.3103,17.0,82,7,2.06,IN,1704928150
152,antsiranana,-12.2787,49.2917,24.61,88,55,1.58,MG,1704928150
153,magadan,59.5667,150.8,-24.58,93,97,2.92,RU,1704928140
154,pasil,17.3833,121.1333,15.57,97,91,1.21,PH,1704928151
155,grand falls-windsor,48.9332,-55.6649,-8.05,72,82,2.68,CA,1704928151
156,udachny,66.4167,112.4,-35.31,73,57,1.54,RU,1704927896
157,recani,31.2846,-4.2688,12.62,29,0,2.15,MA,1704928135
158,auki,-8.7676,160.7034,29.96,67,55,0.27,SB,1704928151
159,pointe-noire,-4.7761,11.8635,27.04,89,40,2.06,CG,1704928151
160,viedma,-40.8135,-62.9967,17.67,39,0,7.52,AR,1704927611
161,chernyshevsk,52.5243,117.0174,-30.31,100,85,0.9,RU,1704928151
162,al kharijah,25.4514,30.5464,11.5,48,34,2.94,EG,1704928152
163,badger,64.8,-147.5333,-20.07,71,75,4.12,US,1704928152
164,dwarka,22.2394,68.9678,19.97,47,0,6.16,IN,1704928152
165,toliara,-23.35,43.6667,26.13,84,18,1.37,MG,1704928152
166,gimcheon,36.1218,128.1198,-1.38,74,40,1.54,KR,1704928152
167,igarka,67.4667,86.5833,-24.37,90,100,4.82,RU,1704928152
168,tidjikja,18.5564,-11.4271,23.02,13,70,4.82,MR,1704928152
